# Time-averaged data for fix 6
# TimeStep v_strain_y v_virial_stress_yy
100 0.0002 -0.048269
200 0.0002 -0.0482178
300 0.0002 -0.0481663
400 0.0002 -0.0481124
500 0.0002 -0.0480558
600 0.0002 -0.0480023
700 0.0002 -0.047952
800 0.0002 -0.0479003
900 0.0002 -0.0478474
1000 0.0002 -0.0477883
1100 0.0002 -0.0477296
1200 0.0002 -0.047676
1300 0.0002 -0.0476224
1400 0.0002 -0.0475653
1500 0.0002 -0.0475061
1600 0.0002 -0.0474499
1700 0.0002 -0.0473932
1800 0.0002 -0.0473412
1900 0.0002 -0.0472895
2000 0.0002 -0.0472354
2100 0.0002 -0.0471808
2200 0.0002 -0.0471262
2300 0.0002 -0.0470797
2400 0.0002 -0.0470353
2500 0.0002 -0.046988
2600 0.0002 -0.0469457
2700 0.0002 -0.0469062
2800 0.0002 -0.0468682
2900 0.0002 -0.046832
3000 0.0002 -0.0467965
3100 0.0002 -0.0467646
3200 0.0002 -0.0467364
3300 0.0002 -0.0467127
3400 0.0002 -0.046686
3500 0.0002 -0.0466597
3600 0.0002 -0.0466377
3700 0.0002 -0.0466175
3800 0.0002 -0.0466036
3900 0.0002 -0.0465876
4000 0.0002 -0.0465729
4100 0.0002 -0.0465607
4200 0.0002 -0.0465526
4300 0.0002 -0.0465504
4400 0.0002 -0.0465516
4500 0.0002 -0.0465493
4600 0.0002 -0.0465467
4700 0.0002 -0.046544
4800 0.0002 -0.0465492
4900 0.0002 -0.0465531
5000 0.0002 -0.0465599
5100 0.0002 -0.0464512
5200 0.0002 -0.0462211
5300 0.0002 -0.0459916
5400 0.0002 -0.0457613
5500 0.0002 -0.0455339
5600 0.0002 -0.0453133
5700 0.0002 -0.0450937
5800 0.0002 -0.0448741
5900 0.0002 -0.0446554
6000 0.0002 -0.0444363
6100 0.0002 -0.0442128
6200 0.0002 -0.0439942
6300 0.0002 -0.043775
6400 0.0002 -0.0435576
6500 0.0002 -0.0433464
6600 0.0002 -0.0431308
6700 0.0002 -0.042914
6800 0.0002 -0.0426982
6900 0.0002 -0.0424829
7000 0.0002 -0.0422637
7100 0.0002 -0.0420482
7200 0.0002 -0.0418355
7300 0.0002 -0.0416244
7400 0.0002 -0.0414106
7500 0.0002 -0.0411978
7600 0.0002 -0.0409909
7700 0.0002 -0.0407808
7800 0.0002 -0.0405686
7900 0.0002 -0.040356
8000 0.0002 -0.040142
8100 0.0002 -0.0399336
8200 0.0002 -0.0397263
8300 0.0002 -0.0395208
8400 0.0002 -0.0393129
8500 0.0002 -0.0391042
8600 0.0002 -0.0388997
8700 0.0002 -0.0386911
8800 0.0002 -0.0384816
8900 0.0002 -0.0382797
9000 0.0002 -0.038076
9100 0.0002 -0.0378747
9200 0.0002 -0.0376723
9300 0.0002 -0.0374697
9400 0.0002 -0.037268
9500 0.0002 -0.0370715
9600 0.0002 -0.0368775
9700 0.0002 -0.0366784
9800 0.0002 -0.0364863
9900 0.0002 -0.0362919
10000 0.0002 -0.0360993
10100 0.0002 -0.0359082
10200 0.0002 -0.0357154
10300 0.0002 -0.0355255
10400 0.0002 -0.0353377
10500 0.0002 -0.0351547
10600 0.0002 -0.0349717
10700 0.0002 -0.0347892
10800 0.0002 -0.0346068
10900 0.0002 -0.0344265
11000 0.0002 -0.0342468
11100 0.0002 -0.0340638
11200 0.0002 -0.0338814
11300 0.0002 -0.0337028
11400 0.0002 -0.033521
11500 0.0002 -0.0333391
11600 0.0002 -0.0331622
11700 0.0002 -0.0329801
11800 0.0002 -0.0328037
11900 0.0002 -0.0326349
12000 0.0002 -0.0324654
12100 0.0002 -0.0322919
12200 0.0002 -0.0321198
12300 0.0002 -0.0319446
12400 0.0002 -0.0317772
12500 0.0002 -0.0316082
12600 0.0002 -0.0314398
12700 0.0002 -0.0312736
12800 0.0002 -0.0311104
12900 0.0002 -0.0309481
13000 0.0002 -0.0307869
13100 0.0002 -0.0306247
13200 0.0002 -0.0304606
13300 0.0002 -0.0302969
13400 0.0002 -0.0301362
13500 0.0002 -0.029977
13600 0.0002 -0.0298156
13700 0.0002 -0.0296601
13800 0.0002 -0.0295037
13900 0.0002 -0.0293446
14000 0.0002 -0.0291879
14100 0.0002 -0.0290304
14200 0.0002 -0.0288691
14300 0.0002 -0.0287127
14400 0.0002 -0.0285568
14500 0.0002 -0.0284011
14600 0.0002 -0.0282502
14700 0.0002 -0.0280995
14800 0.0002 -0.0279485
14900 0.0002 -0.0277929
15000 0.0002 -0.027644
15100 0.0002 -0.0274969
15200 0.0002 -0.0273497
15300 0.0002 -0.0272025
15400 0.0002 -0.0270542
15500 0.0002 -0.0269113
15600 0.0002 -0.0267698
15700 0.0002 -0.0266251
